DX DESCRIPTION,CUI
Malignant neoplasm of left lacrimal gland and duct,C2845916
Malignant neoplasm of unspecified orbit,C2845919
Malignant neoplasm of right orbit,C2845920
Malignant neoplasm of left orbit,C2845921
Malignant neoplasm of overlapping sites of unspecified eye and adnexa,C2845922
Malignant neoplasm of overlapping sites of right eye and adnexa,C2845923
Malignant neoplasm of overlapping sites of left eye and adnexa,C2845924
Malignant neoplasm of unspecified site of unspecified eye,C2845925
Malignant neoplasm of unspecified site of right eye,C2845926
Malignant neoplasm of unspecified site of left eye,C2845927
Malignant neoplasm of cerebral meninges,C0153645
Malignant neoplasm of spinal meninges,C0153647
"Malignant neoplasm of meninges, unspecified",C0348375
"Malignant neoplasm of cerebrum, except lobes and ventricles",C0153634
Malignant neoplasm of frontal lobe,C0153635
Malignant neoplasm of temporal lobe,C0153636
Malignant neoplasm of parietal lobe,C0153637
Malignant neoplasm of occipital lobe,C0153638
Malignant neoplasm of cerebral ventricle,C0346906
Malignant neoplasm of cerebellum,C0153640|C1306607
Malignant neoplasm of brain stem,C0153641|C1306650
Malignant neoplasm of overlapping sites of brain,C0496837
"Malignant neoplasm of brain, unspecified",C0153633
Malignant neoplasm of spinal cord,C0153646
Malignant neoplasm of cauda equina,C0349017
Malignant neoplasm of unspecified olfactory nerve,C2845929
Malignant neoplasm of right olfactory nerve,C2845930
Malignant neoplasm of left olfactory nerve,C2845931
Malignant neoplasm of unspecified optic nerve,C2845932
Malignant neoplasm of right optic nerve,C2845933
Malignant neoplasm of left optic nerve,C2845934
Malignant neoplasm of unspecified acoustic nerve,C2845935
Malignant neoplasm of right acoustic nerve,C2845936
Malignant neoplasm of left acoustic nerve,C2845937
Malignant neoplasm of unspecified cranial nerve,C2845938
Malignant neoplasm of other cranial nerves,C2845939
"Malignant neoplasm of central nervous system, unspecified",C0348374
Malignant neoplasm of thyroid gland,C0007115
Malignant neoplasm of cortex of unspecified adrenal gland,C2845940
Malignant neoplasm of cortex of right adrenal gland,C2845941
Malignant neoplasm of cortex of left adrenal gland,C2845942
Malignant neoplasm of medulla of unspecified adrenal gland,C2845943
Malignant neoplasm of medulla of right adrenal gland,C2845944
Malignant neoplasm of medulla of left adrenal gland,C2845945
Malignant neoplasm of unspecified part of unspecified adrenal gland,C2845946
Malignant neoplasm of unspecified part of right adrenal gland,C2845947
Malignant neoplasm of unspecified part of left adrenal gland,C2845948
Malignant neoplasm of parathyroid gland,C0153653
Malignant neoplasm of pituitary gland,C0496842
Malignant neoplasm of craniopharyngeal duct,C0496843
Malignant neoplasm of pineal gland,C0153655
Malignant neoplasm of carotid body,C0153656
Malignant neoplasm of aortic body and other paraganglia,C0438413
"Malignant neoplasm with pluriglandular involvement, unspecified",C0348378
"Malignant neoplasm of endocrine gland, unspecified",C0153658
"Malignant neoplasm of head, face and neck",C0153660
Malignant neoplasm of thorax,C0153661
Malignant neoplasm of abdomen,C0153662
Malignant neoplasm of pelvis,C0153663
Malignant neoplasm of unspecified upper limb,C2845951
Malignant neoplasm of right upper limb,C2845952
Malignant neoplasm of left upper limb,C2845953
Malignant neoplasm of unspecified lower limb,C2845954
Malignant neoplasm of right lower limb,C2845955
Malignant neoplasm of left lower limb,C2845956
Malignant neoplasm of other specified ill-defined sites,C2977945
"Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck",C0153668
Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes,C0686645
Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,C0686655
Secondary and unspecified malignant neoplasm of axilla and upper limb lymph nodes,C0153671
Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes,C0347055
Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes,C0686689
Secondary and unspecified malignant neoplasm of lymph nodes of multiple regions,C0348382
"Secondary and unspecified malignant neoplasm of lymph node, unspecified",C0686619
Secondary malignant neoplasm of unspecified lung,C2845957
Secondary malignant neoplasm of right lung,C2845958
Secondary malignant neoplasm of left lung,C2845959
Secondary malignant neoplasm of mediastinum,C0153677
Secondary malignant neoplasm of pleura,C0153678
Secondary malignant neoplasm of unspecified respiratory organ,C2845960
Secondary malignant neoplasm of other respiratory organs,C2745961
Secondary malignant neoplasm of small intestine,C0494164
Secondary malignant neoplasm of large intestine and rectum,C0153681
Secondary malignant neoplasm of retroperitoneum and peritoneum,C0036528
Secondary malignant neoplasm of liver and intrahepatic bile duct,C2845961
Secondary malignant neoplasm of unspecified digestive organ,C2845962
Secondary malignant neoplasm of other digestive organs,C0348384
Secondary malignant neoplasm of unspecified kidney and renal pelvis,C2845964
Secondary malignant neoplasm of right kidney and renal pelvis,C2845965
Secondary malignant neoplasm of left kidney and renal pelvis,C2845966
Secondary malignant neoplasm of unspecified urinary organs,C2845967
Secondary malignant neoplasm of bladder,C0347011
Secondary malignant neoplasm of other urinary organs,C2845968
Secondary malignant neoplasm of skin,C0153687
Secondary malignant neoplasm of brain,C0220650
Secondary malignant neoplasm of cerebral meninges,C0686396
Secondary malignant neoplasm of unspecified part of nervous system,C2845969
Secondary malignant neoplasm of other parts of nervous system,C0153689
Secondary malignant neoplasm of bone,C0153690
Secondary malignant neoplasm of bone marrow,C0346979
Secondary malignant neoplasm of unspecified ovary,C2845970
Secondary malignant neoplasm of right ovary,C1297997
Secondary malignant neoplasm of left ovary,C1297990
Secondary malignant neoplasm of bilateral ovaries,C5539133
Secondary malignant neoplasm of unspecified adrenal gland,C2845971
Secondary malignant neoplasm of right adrenal gland,C2845972
Secondary malignant neoplasm of left adrenal gland,C2845973
Secondary malignant neoplasm of breast,C0346993|C5441655
Secondary malignant neoplasm of genital organs,C0153693
Secondary malignant neoplasm of other specified sites,C0153684
Secondary malignant neoplasm of unspecified site,C2845974
Malignant carcinoid tumor of unspecified site,C2845976
Malignant carcinoid tumor of the duodenum,C2349314
Malignant carcinoid tumor of the jejunum,C2349315
Malignant carcinoid tumor of the ileum,C2349316
"Malignant carcinoid tumor of the small intestine, unspecified portion",C2349313
Malignant carcinoid tumor of the appendix,C2062529
Malignant carcinoid tumor of the cecum,C2349319
Malignant carcinoid tumor of the ascending colon,C2349320
Malignant carcinoid tumor of the transverse colon,C2349321
Malignant carcinoid tumor of the descending colon,C2349322
Malignant carcinoid tumor of the sigmoid colon,C2349323
Malignant carcinoid tumor of the rectum,C2205119
"Malignant carcinoid tumor of the large intestine, unspecified portion",C2349317
Malignant carcinoid tumor of the bronchus and lung,C2349326
Malignant carcinoid tumor of the thymus,C1336746
Malignant carcinoid tumor of the stomach,C2062573
Malignant carcinoid tumor of the kidney,C2349327
"Malignant carcinoid tumor of the foregut, unspecified",C4270805
"Malignant carcinoid tumor of the midgut, unspecified",C4267837
"Malignant carcinoid tumor of the hindgut, unspecified",C4267838
Malignant carcinoid tumors of other sites,C2349331
Malignant poorly differentiated neuroendocrine tumors,C2349335
Other malignant neuroendocrine tumors,C2845977
"Secondary carcinoid tumors, unspecified site",C2845978
Secondary carcinoid tumors of distant lymph nodes,C2845980
Secondary carcinoid tumors of liver,C2845981
Secondary carcinoid tumors of bone,C2845982
Secondary carcinoid tumors of peritoneum,C2845983
Secondary carcinoid tumors of other sites,C2845984
Secondary Merkel cell carcinoma,C2712933
Other secondary neuroendocrine tumors,C2845985
"Disseminated malignant neoplasm, unspecified",C2845988
"Malignant (primary) neoplasm, unspecified",C2853710
Malignant neoplasm associated with transplanted organ,C2349259
"Nodular lymphocyte predominant Hodgkin lymphoma, unspecified site",C2853711
"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of head, face, and neck",C2853712
"Nodular lymphocyte predominant Hodgkin lymphoma, intrathoracic lymph nodes",C2853713
"Nodular lymphocyte predominant Hodgkin lymphoma, intra-abdominal lymph nodes",C2853714
"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of axilla and upper limb",C2853715
"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",C2853716
"Nodular lymphocyte predominant Hodgkin lymphoma, intrapelvic lymph nodes",C2853717
"Nodular lymphocyte predominant Hodgkin lymphoma, spleen",C2853718
"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of multiple sites",C2853719
"Nodular lymphocyte predominant Hodgkin lymphoma, extranodal and solid organ sites",C2853720
"Nodular sclerosis Hodgkin lymphoma, unspecified site",C4267839
"Nodular sclerosis Hodgkin lymphoma, lymph nodes of head, face, and neck",C0153760
"Nodular sclerosis Hodgkin lymphoma, intrathoracic lymph nodes",C4267840
"Nodular sclerosis Hodgkin lymphoma, intra-abdominal lymph nodes",C4267841
"Nodular sclerosis Hodgkin lymphoma, lymph nodes of axilla and upper limb",C0153763
"Nodular sclerosis Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",C0153764
"Nodular sclerosis Hodgkin lymphoma, intrapelvic lymph nodes",C4267842
"Nodular sclerosis Hodgkin lymphoma, spleen",C2018758
"Nodular sclerosis Hodgkin lymphoma, lymph nodes of multiple sites",C4267843
"Nodular sclerosis Hodgkin lymphoma, extranodal and solid organ sites",C4267844
"Mixed cellularity Hodgkin lymphoma, unspecified site",C4267845
"Mixed cellularity Hodgkin lymphoma, lymph nodes of head, face, and neck",C0153768
"Mixed cellularity Hodgkin lymphoma, intrathoracic lymph nodes",C4267846
"Mixed cellularity Hodgkin lymphoma, intra-abdominal lymph nodes",C4267847
"Mixed cellularity Hodgkin lymphoma, lymph nodes of axilla and upper limb",C0153771
"Mixed cellularity Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",C4267848
"Mixed cellularity Hodgkin lymphoma, intrapelvic lymph nodes",C4267849
"Mixed cellularity Hodgkin lymphoma, spleen",C0153774
"Mixed cellularity Hodgkin lymphoma, lymph nodes of multiple sites",C4267850
"Mixed cellularity Hodgkin lymphoma, extranodal and solid organ sites",C4267851
"Lymphocyte depleted Hodgkin lymphoma, unspecified site",C4267852
"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of head, face, and neck",C4267853
"Lymphocyte depleted Hodgkin lymphoma, intrathoracic lymph nodes",C4267854
"Lymphocyte depleted Hodgkin lymphoma, intra-abdominal lymph nodes",C4267855
"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of axilla and upper limb",C4267856
"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",C4267857
"Lymphocyte depleted Hodgkin lymphoma, intrapelvic lymph nodes",C4267858
"Lymphocyte depleted Hodgkin lymphoma, spleen",C4267859
"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of multiple sites",C4267860
"Lymphocyte depleted Hodgkin lymphoma, extranodal and solid organ sites",C4267861
"Lymphocyte-rich Hodgkin lymphoma, unspecified site",C4267862
"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of head, face, and neck",C4267863
"Lymphocyte-rich Hodgkin lymphoma, intrathoracic lymph nodes",C0153753
"Lymphocyte-rich Hodgkin lymphoma, intra-abdominal lymph nodes",C0153754
"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of axilla and upper limb",C4267864
"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",C4267865
"Lymphocyte-rich Hodgkin lymphoma, intrapelvic lymph nodes",C0153757
"Lymphocyte-rich Hodgkin lymphoma, spleen",C0153758
"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of multiple sites",C0153759
"Lymphocyte-rich Hodgkin lymphoma, extranodal and solid organ sites",C4267866
"Other Hodgkin lymphoma, unspecified site",C4267868
"Other Hodgkin lymphoma, lymph nodes of head, face, and neck",C4267869
"Other Hodgkin lymphoma, intrathoracic lymph nodes",C4267870
"Other Hodgkin lymphoma, intra-abdominal lymph nodes",C4267871
"Other Hodgkin lymphoma, lymph nodes of axilla and upper limb",C4267872
"Other Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",C4267873
"Other Hodgkin lymphoma, intrapelvic lymph nodes",C4267874
"Other Hodgkin lymphoma, spleen",C4267875
"Other Hodgkin lymphoma, lymph nodes of multiple sites",C4267876
"Other Hodgkin lymphoma, extranodal and solid organ sites",C4267877
"Hodgkin lymphoma, unspecified, unspecified site",C2853774
"Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck",C2853775
"Hodgkin lymphoma, unspecified, intrathoracic lymph nodes",C2853776
"Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes",C2853777
"Hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb",C2853778
"Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb",C2853779
"Hodgkin lymphoma, unspecified, intrapelvic lymph nodes",C2853780
"Hodgkin lymphoma, unspecified, spleen",C2853781
"Hodgkin lymphoma, unspecified, lymph nodes of multiple sites",C2853782
"Hodgkin lymphoma, unspecified, extranodal and solid organ sites",C2853783
